year,BRA_03_f08,BRA_03_f10,BRA_03_f15,BRA_03_p10,BRA_12_f08,BRA_12_f10,BRA_12_f15,BRA_12_p10,ETH_03_f08,ETH_03_f10,ETH_03_f15,ETH_03_p10,ETH_12_f08,ETH_12_f10,ETH_12_f15,ETH_12_p10,SOM_03_f08,SOM_03_f10,SOM_03_f15,SOM_03_p10,SOM_12_f08,SOM_12_f10,SOM_12_f15,SOM_12_p10
1972,0.2722007722007722,0.19626769626769627,0.06692406692406692,-1.3285670429468155,0.15637065637065636,0.11840411840411841,0.06756756756756757,-1.0775908708572388,0.18941815396488076,0.13069219118045117,0.02349729608320807,-1.1383359630902607,0.21292696833048255,0.13509793419605268,0.032297263832017364,-1.106727421283722,0.12470428823705815,0.07088197074536026,0.0,-0.8655202388763428,0.008529826626831194,0.0028432755422770645,0.0,-0.051232533529400826
1973,0.009073233959818535,0.0006480881399870382,0.0,0.035864070151001216,0.07147540983606557,0.05967213114754098,0.015737704918032787,-0.41994581123193103,0.19384117440407286,0.13363511233204903,0.03818310613521311,-1.1022488355636597,0.6725755455346498,0.580060701348215,0.3333390924745302,-2.1395692229270935,0.18129213545542394,0.08214400746359832,0.0,-0.9781066179275513,0.6318624565456423,0.549707342536957,0.29474549351933105,-1.8675314251810078
1974,0.1036036036036036,0.05662805662805663,0.01287001287001287,-0.8290080002376011,0.10810810810810811,0.07979407979407979,0.039897039897039896,-0.8279785752296448,0.9383195977815788,0.9221652067243733,0.814976070768327,-2.698464202880859,0.42727068539539387,0.3450589448101499,0.11158911983045088,-1.5486856698989868,0.8414318557926185,0.8300920732587713,0.6884280906738341,-2.389663815498352,0.6289636482779302,0.49861723513666617,0.1727956284638538,-1.679648369550705
1975,0.19428200129954515,0.1442495126705653,0.022092267706302793,-1.1065977394580842,0.03374432186891629,0.0136275146009085,0.0012978585334198572,-0.42340288843427387,0.6313919268358703,0.5447456475290405,0.2539781267817343,-1.8895572900772095,0.2407666568761267,0.1776407102172924,0.04846317317161664,-1.2624502737599759,0.9008851916434354,0.815875695547386,0.3994024678743184,-2.116387685139974,0.4815131557026556,0.35120006219665256,0.08496506991570134,-1.4504070281982422
1976,0.37001287001287003,0.28957528957528955,0.12483912483912483,-1.6078716974992018,0.1663417803768681,0.12930474333983105,0.06627680311890838,-1.2399414420127868,0.1835495890852756,0.11308073740043884,0.030840201109210593,-1.0475928613117762,0.1747496213364663,0.1336408714732459,0.07930337428082723,-1.283514678478241,0.23511445294712174,0.12180547996934599,0.03398602796628054,-1.0092164874076843,0.16151137865544174,0.12186101269478111,0.04249364150293769,-1.14487224817276
1977,0.0888030888030888,0.05148005148005148,0.010939510939510939,-0.7329691052436829,0.07722007722007722,0.04568854568854569,0.002574002574002574,-0.699489430586497,0.04400559788524335,0.03814279214683506,0.014662773487217584,-0.10705356829414504,0.17028052776769934,0.1174231298628749,0.03079988712083254,-1.0472971050469528,0.13027977387074205,0.11895109788198188,0.07363639392694116,-1.2106448411941528,0.22940568877239362,0.20108399880049319,0.11895109788198188,-1.7217503786087036
1978,0.22651222651222652,0.18532818532818532,0.016087516087516088,-1.2074980267456599,0.09266409266409266,0.0682110682110682,0.001287001287001287,-0.7283764630556107,0.04694851903684122,0.03079988712083254,0.01465701434602072,-0.33303583769186196,0.27017283182731794,0.215846852917293,0.08810334202963653,-1.4552319953518529,0.1586014638426425,0.1444406188566923,0.1076224218932217,-1.5788294672966003,0.2011617446161023,0.15014938303142045,0.03399713451136756,-1.2218252817789714
1979,0.1138996138996139,0.059845559845559844,0.0045045045045045045,-0.8281093353316897,0.15894465894465895,0.11840411840411841,0.036036036036036036,-1.1141830921173095,0.4346366269861838,0.32596739174254336,0.11742888900407174,-1.579802890618642,0.28637329601409833,0.21588140776447415,0.11161215639523833,-1.5473591983318329,0.47593767006897164,0.3852527294334552,0.21807701278363345,-2.042236566543579,0.1048124659862057,0.06799426902273512,0.01699301398314027,-0.8527930676937103
1980,0.18275418275418276,0.12934362934362933,0.059845559845559844,-1.2074288368225097,0.4491634491634492,0.3861003861003861,0.20913770913770913,-1.8280939658482869,0.5271860260197999,0.40529380258815806,0.14098377649924843,-1.6404306093851726,0.7312611943307015,0.637277769139066,0.3523903315537587,-2.2341795762379966,0.4731277141619556,0.3796439241645101,0.11617446161022696,-1.5922265847524006,0.7875984317558337,0.6856181347668181,0.4504370425491742,-2.230303239822388
1981,0.15622940013183917,0.1061305207646671,0.04152933421226104,-1.034440244947161,0.26688524590163937,0.21901639344262294,0.14950819672131146,-2.084086298942566,0.5330603500406019,0.4229282929329578,0.20706992173327113,-1.8826399087905883,0.19825267656087123,0.1483209223840541,0.039651687140413616,-1.172393130947441,0.25229627819674133,0.15588036029632268,0.005697657629641148,-1.1703536482473176,0.008518720081744174,1.1106545087019783e-05,0.0,-0.43359464406967163
1982,0.4369369369369369,0.3410553410553411,0.24646074646074645,-2.2628630002339682,0.18298969072164947,0.1327319587628866,0.06314432989690721,-1.1385612934827805,0.0029371620104010087,0.0029371620104010087,0.0,0.6669301390647888,0.1586009894204576,0.13069795032164802,0.06461180508762533,-1.2069891691207886,0.0,0.0,0.0,0.9915735721588135,0.008474293901396094,0.0,0.0,0.5375948548316956
1983,0.26776315789473687,0.19671052631578947,0.05394736842105263,-1.2785382906595866,0.6274131274131274,0.574002574002574,0.38674388674388677,-2.4539687236150107,0.34064744265335156,0.28631570460212974,0.16149207830128373,-1.6421607732772827,0.2804471397225246,0.2275839826765033,0.09838916820723694,-1.4839278067487,0.5552495085353799,0.49576285304930195,0.3314526250319313,-1.9496914943059285,0.311627442051601,0.25496184901762614,0.13029088041582906,-1.5782238927874823
1984,0.2072072072072072,0.1718146718146718,0.047619047619047616,-1.3300285711884499,0.0694980694980695,0.05405405405405406,0.0341055341055341,-0.6386666049559911,0.5962381289702079,0.500786122773372,0.2966533630505019,-2.1376172065734864,0.8206618910844262,0.7883055911224924,0.6632926139968393,-2.707943058013916,0.2975110232459989,0.23518109221764388,0.09921476726234775,-1.486352523167928,0.4023901285027267,0.34007130401945873,0.21257927296555865,-1.9269805367463806
1985,0.1743886743886744,0.14993564993564992,0.09266409266409266,-1.4257144033908844,0.3109677419354839,0.26645161290322583,0.17548387096774193,-2.0904825817454946,0.6505756261626265,0.49491179875256996,0.2056013407280706,-1.7281511574983597,0.2496357343192983,0.18796685038327085,0.06020606207202382,-1.3206591606140137,0.47602652242966786,0.30602974332774313,0.09630485244954853,-1.4918269316355388,0.05665448648888791,0.01699301398314027,0.0,-0.725655605395635
1986,0.0888030888030888,0.05662805662805663,0.0019305019305019305,-0.7322092567171369,0.15572715572715573,0.10810810810810811,0.03861003861003861,-1.0745273381471634,0.5286258113190161,0.42141939793937927,0.2598812465085207,-1.98612539768219,0.3964995939805456,0.3157391569769116,0.17622396148286365,-1.89001966714859,0.6061730177593656,0.5296822417450604,0.38239834734609107,-2.2305463314056397,0.18698979308506508,0.07936737119184337,0.017026333618401328,-0.9562361538410187
